,precision,recall,f1-score,support
BAS,0.9384615384615385,0.7721518987341772,0.8472222222222223,79.0
EBO,1.0,0.8846153846153846,0.9387755102040816,78.0
EOS,0.9069767441860465,0.975,0.9397590361445783,80.0
KSC,0.974025974025974,0.9615384615384616,0.967741935483871,78.0
LYA,0.9861111111111112,0.8875,0.9342105263157895,80.0
LYT,0.6842105263157895,0.975,0.8041237113402062,80.0
MMZ,0.7619047619047619,0.8205128205128205,0.7901234567901233,78.0
MOB,0.9873417721518988,1.0,0.9936305732484078,78.0
MON,1.0,0.6875,0.8148148148148148,80.0
MYB,1.0,0.6842105263157895,0.8125000000000001,76.0
MYO,0.7523809523809524,0.9875,0.854054054054054,80.0
NGB,0.8928571428571429,0.3787878787878788,0.5319148936170213,66.0
NGS,0.5970149253731343,1.0,0.7476635514018691,80.0
PMB,0.9863013698630136,0.9,0.9411764705882354,80.0
PMO,0.8285714285714286,0.8285714285714286,0.8285714285714286,70.0
accuracy,0.8555460017196904,0.8555460017196904,0.8555460017196904,0.8555460017196904
macro avg,0.8864105498135195,0.8495258932717296,0.8497521456531135,1163.0
weighted avg,0.886089371398007,0.8555460017196904,0.8533897565036186,1163.0
