,precision,recall,f1-score,support
ADI,1.0,0.996268656716418,0.9981308411214954,268.0
LYM,1.0,1.0,1.0,127.0
MUC,0.9951690821256038,0.9951690821256038,0.9951690821256038,207.0
MUS,0.967479674796748,1.0,0.9834710743801653,119.0
NORM,1.0,0.9865771812080537,0.9932432432432432,149.0
STR,1.0,0.9411764705882353,0.9696969696969697,85.0
TUM,0.9840637450199203,1.0,0.9919678714859438,247.0
accuracy,0.9925124792013311,0.9925124792013311,0.9925124792013311,0.9925124792013311
macro avg,0.9923875002774675,0.9884559129483301,0.9902398688647744,1202.0
weighted avg,0.9926737323799777,0.9925124792013311,0.9924839211283811,1202.0
