,precision,recall,f1-score,support
A,0.9,0.8411214953271028,0.8695652173913043,107.0
C,0.8991596638655462,0.9067796610169492,0.9029535864978903,118.0
D,0.8372093023255814,0.6,0.6990291262135923,120.0
G,0.8793103448275862,0.8947368421052632,0.8869565217391304,114.0
H,0.92,0.8932038834951457,0.9064039408866995,103.0
M,0.9191919191919192,0.978494623655914,0.9479166666666667,93.0
N,0.6158940397350994,0.775,0.6863468634686347,120.0
O,0.6612903225806451,0.6833333333333333,0.6721311475409835,120.0
accuracy,0.8145251396648044,0.8145251396648044,0.8145251396648044,0.8145251396648044
macro avg,0.8290069490657972,0.8215837298667136,0.8214128838006127,895.0
weighted avg,0.8230327462438959,0.8145251396648044,0.814661181367594,895.0
