,precision,recall,f1-score,support
basophil,1.0,0.9877049180327869,0.9938144329896906,244.0
eosinophil,0.9968051118210862,1.0,0.9984,624.0
erythroblast,0.9872611464968153,0.9967845659163987,0.9920000000000001,311.0
ig,0.9642857142857143,0.9792746113989638,0.9717223650385605,579.0
lymphocyte,0.991701244813278,0.9835390946502057,0.9876033057851239,243.0
monocyte,0.9655172413793104,0.9859154929577465,0.975609756097561,284.0
neutrophil,0.9907834101382489,0.9684684684684685,0.9794988610478361,666.0
platelet,1.0,1.0,1.0,470.0
accuracy,0.9868459514761766,0.9868459514761766,0.9868459514761766,0.9868459514761766
macro avg,0.9870442336168067,0.9877108939280713,0.9873310901198464,3421.0
weighted avg,0.9869681628476237,0.9868459514761766,0.9868572307811057,3421.0
