,precision,recall,f1-score,support
akiec,0.6304347826086957,0.6904761904761905,0.6590909090909092,42.0
bcc,0.8157894736842105,0.7380952380952381,0.775,42.0
bkl,0.6511627906976745,0.6666666666666666,0.6588235294117646,42.0
df,0.8787878787878788,0.6904761904761905,0.7733333333333333,42.0
mel,0.5370370370370371,0.6904761904761905,0.6041666666666667,42.0
nv,0.8048780487804879,0.7857142857142857,0.7951807228915663,42.0
vasc,0.9230769230769231,0.8571428571428571,0.888888888888889,42.0
accuracy,0.7312925170068028,0.7312925170068028,0.7312925170068028,0.7312925170068028
macro avg,0.7487381335247011,0.7312925170068026,0.7363548643261614,294.0
weighted avg,0.7487381335247011,0.7312925170068028,0.7363548643261614,294.0
