filename, label, prediction1, score1, prediction2, score2
Benign___WBC-Benign-013_107.jpg,Benign,Benign,0.5218,Early,0.3378
Benign___WBC-Benign-018_106.jpg,Benign,Benign,0.4754,Early,0.3812
Benign___WBC-Benign-190_110.jpg,Benign,Pre,0.6654,Benign,0.1858
Benign___WBC-Benign-194_101.jpg,Benign,Benign,0.441,Early,0.3419
Benign___WBC-Benign-222_109.jpg,Benign,Pre,0.3722,Early,0.3138
Benign___WBC-Benign-234_105.jpg,Benign,Benign,0.5543,Early,0.2979
Benign___WBC-Benign-350_102.jpg,Benign,Benign,0.4174,Pre,0.3093
Benign___WBC-Benign-410_108.jpg,Benign,Pre,0.5103,Benign,0.2507
Benign___WBC-Benign-474_103.jpg,Benign,Benign,0.6151,Pre,0.2266
Benign___WBC-Benign-495_104.jpg,Benign,Pre,0.531,Benign,0.3226
Early___WBC-Malignant-Early-044_103.jpg,Early,Pre,0.7026,Early,0.1904
Early___WBC-Malignant-Early-241_108.jpg,Early,Early,0.5606,Benign,0.2789
Early___WBC-Malignant-Early-289_107.jpg,Early,Pre,0.7303,Benign,0.1365
Early___WBC-Malignant-Early-554_110.jpg,Early,Pre,0.8961,Early,0.0717
Early___WBC-Malignant-Early-647_104.jpg,Early,Pre,0.9528,Early,0.0294
Early___WBC-Malignant-Early-664_106.jpg,Early,Pre,0.836,Early,0.0874
Early___WBC-Malignant-Early-773_105.jpg,Early,Pre,0.7854,Benign,0.1073
Early___WBC-Malignant-Early-838_109.jpg,Early,Early,0.5382,Pre,0.2605
Early___WBC-Malignant-Early-855_101.jpg,Early,Pre,0.7985,Early,0.1222
Early___WBC-Malignant-Early-925_102.jpg,Early,Early,0.4285,Pre,0.3382
Pre___WBC-Malignant-Pre-029_101.jpg,Pre,Pre,0.7038,Early,0.2126
Pre___WBC-Malignant-Pre-185_102.jpg,Pre,Pre,0.5668,Benign,0.2784
Pre___WBC-Malignant-Pre-284_103.jpg,Pre,Pre,0.6622,Early,0.2452
Pre___WBC-Malignant-Pre-302_107.jpg,Pre,Pre,0.6023,Early,0.2649
Pre___WBC-Malignant-Pre-460_110.jpg,Pre,Pre,0.6741,Early,0.1666
Pre___WBC-Malignant-Pre-602_108.jpg,Pre,Pre,0.7706,Early,0.1327
Pre___WBC-Malignant-Pre-623_109.jpg,Pre,Pre,0.7605,Early,0.1344
Pre___WBC-Malignant-Pre-821_104.jpg,Pre,Pre,0.5803,Early,0.2957
Pre___WBC-Malignant-Pre-855_106.jpg,Pre,Pre,0.6152,Early,0.2531
Pre___WBC-Malignant-Pre-863_105.jpg,Pre,Pre,0.5765,Early,0.2073
Pro___WBC-Malignant-Pro-077_104.jpg,Pro,Pro,0.8535,Benign,0.0713
Pro___WBC-Malignant-Pro-164_107.jpg,Pro,Pro,0.8356,Pre,0.0865
Pro___WBC-Malignant-Pro-219_103.jpg,Pro,Pro,0.7089,Benign,0.1704
Pro___WBC-Malignant-Pro-224_105.jpg,Pro,Pro,0.682,Pre,0.1676
Pro___WBC-Malignant-Pro-360_108.jpg,Pro,Pro,0.5266,Pre,0.4001
Pro___WBC-Malignant-Pro-534_101.jpg,Pro,Pre,0.603,Pro,0.2676
Pro___WBC-Malignant-Pro-578_110.jpg,Pro,Pre,0.7673,Pro,0.0976
Pro___WBC-Malignant-Pro-699_106.jpg,Pro,Pre,0.4259,Early,0.3414
Pro___WBC-Malignant-Pro-762_109.jpg,Pro,Pre,0.4044,Early,0.2894
Pro___WBC-Malignant-Pro-777_102.jpg,Pro,Pre,0.6273,Early,0.2625
