filename, label, prediction1, score1, prediction2, score2
colon_aca___colonca126_104.jpeg,colon_aca,colon_aca,0.9255,lung_aca,0.0253
colon_aca___colonca1290_119.jpeg,colon_aca,colon_aca,0.962,colon_n,0.0112
colon_aca___colonca1642_111.jpeg,colon_aca,colon_aca,0.9303,colon_n,0.021
colon_aca___colonca202_113.jpeg,colon_aca,colon_aca,0.9338,lung_scc,0.0183
colon_aca___colonca2284_117.jpeg,colon_aca,colon_aca,0.9378,colon_n,0.0171
colon_aca___colonca2651_114.jpeg,colon_aca,colon_aca,0.9694,lung_aca,0.0086
colon_aca___colonca2659_101.jpeg,colon_aca,colon_aca,0.9449,colon_n,0.0173
colon_aca___colonca2963_103.jpeg,colon_aca,colon_aca,0.9519,colon_n,0.0138
colon_aca___colonca2974_116.jpeg,colon_aca,colon_aca,0.934,lung_aca,0.02
colon_aca___colonca3020_109.jpeg,colon_aca,colon_aca,0.9347,colon_n,0.021
colon_aca___colonca3327_120.jpeg,colon_aca,colon_aca,0.9206,colon_n,0.0231
colon_aca___colonca3335_110.jpeg,colon_aca,colon_aca,0.9367,colon_n,0.0177
colon_aca___colonca3372_102.jpeg,colon_aca,colon_aca,0.9379,colon_n,0.0194
colon_aca___colonca3978_107.jpeg,colon_aca,colon_aca,0.9364,lung_scc,0.0194
colon_aca___colonca4271_106.jpeg,colon_aca,colon_aca,0.929,lung_scc,0.0254
colon_aca___colonca4525_112.jpeg,colon_aca,colon_aca,0.9326,lung_scc,0.0178
colon_aca___colonca4628_105.jpeg,colon_aca,colon_aca,0.9206,colon_n,0.0235
colon_aca___colonca4673_108.jpeg,colon_aca,colon_aca,0.9405,lung_aca,0.0181
colon_aca___colonca825_115.jpeg,colon_aca,colon_aca,0.9324,lung_aca,0.0182
colon_aca___colonca971_118.jpeg,colon_aca,colon_aca,0.9494,colon_n,0.0177
colon_n___colonn1496_114.jpeg,colon_n,colon_n,0.9159,lung_aca,0.0251
colon_n___colonn1569_107.jpeg,colon_n,colon_n,0.9234,lung_aca,0.0204
colon_n___colonn1688_104.jpeg,colon_n,colon_n,0.9052,lung_aca,0.0296
colon_n___colonn1741_109.jpeg,colon_n,colon_n,0.9164,lung_n,0.0249
colon_n___colonn1888_108.jpeg,colon_n,colon_n,0.9119,colon_aca,0.0246
colon_n___colonn2057_110.jpeg,colon_n,colon_n,0.9035,lung_scc,0.0282
colon_n___colonn2223_112.jpeg,colon_n,colon_n,0.9294,lung_aca,0.0199
colon_n___colonn224_117.jpeg,colon_n,colon_n,0.9068,lung_scc,0.0301
colon_n___colonn2426_111.jpeg,colon_n,colon_n,0.9114,colon_aca,0.0258
colon_n___colonn2466_116.jpeg,colon_n,colon_n,0.9207,lung_scc,0.0238
colon_n___colonn2554_120.jpeg,colon_n,colon_n,0.92,lung_aca,0.0246
colon_n___colonn2792_113.jpeg,colon_n,colon_n,0.9068,colon_aca,0.0338
colon_n___colonn3102_119.jpeg,colon_n,colon_n,0.9214,lung_scc,0.0225
colon_n___colonn3116_101.jpeg,colon_n,colon_n,0.9096,colon_aca,0.0248
colon_n___colonn3146_118.jpeg,colon_n,colon_n,0.9101,lung_scc,0.0252
colon_n___colonn3331_102.jpeg,colon_n,colon_n,0.9076,lung_scc,0.025
colon_n___colonn3788_103.jpeg,colon_n,colon_n,0.9021,lung_aca,0.0321
colon_n___colonn4134_106.jpeg,colon_n,colon_n,0.9124,colon_aca,0.0266
colon_n___colonn456_115.jpeg,colon_n,colon_n,0.9177,colon_aca,0.0232
colon_n___colonn4689_105.jpeg,colon_n,colon_n,0.9124,lung_n,0.0243
lung_aca___lungaca1582_102.jpeg,lung_aca,lung_aca,0.9084,lung_scc,0.0315
