filename, label, prediction1, score1, prediction2, score2
DAB___dab_104_neg_104.jpg,DAB,MYC_IHC,0.9582,DAB,0.041
DAB___dab_112_neg_107.jpg,DAB,DAB,0.8481,MYC_IHC,0.1432
DAB___dab_28_neg_108.jpg,DAB,DAB,0.5584,MYC_IHC,0.4135
DAB___dab_39_pos_106.jpg,DAB,MYC_IHC,0.9483,DAB,0.051
DAB___dab_44_pos_105.jpg,DAB,MYC_IHC,0.9664,DAB,0.0323
DAB___dab_65_neg_102.jpg,DAB,DAB,0.8398,MYC_IHC,0.1212
DAB___dab_66_neg_109.jpg,DAB,DAB,0.7949,DistanceMap,0.157
DAB___dab_69_neg_110.jpg,DAB,DAB,0.8407,MYC_IHC,0.1388
DAB___dab_73_neg_103.jpg,DAB,MYC_IHC,0.7487,DAB,0.2462
DAB___dab_89_pos_101.jpg,DAB,MYC_IHC,0.6605,DAB,0.3313
DistanceMap___dist_11_pos_108.jpg,DistanceMap,DistanceMap,0.8342,Hematoxylin,0.0859
DistanceMap___dist_38_pos_107.jpg,DistanceMap,DistanceMap,0.9716,MYC_IHC,0.0232
DistanceMap___dist_39_pos_102.jpg,DistanceMap,DistanceMap,0.6149,MYC_IHC,0.348
DistanceMap___dist_46_neg_106.jpg,DistanceMap,DistanceMap,0.4208,MYC_IHC,0.2921
DistanceMap___dist_48_pos_110.jpg,DistanceMap,DistanceMap,0.9709,DAB,0.017
DistanceMap___dist_57_neg_105.jpg,DistanceMap,DistanceMap,0.9365,MYC_IHC,0.0563
DistanceMap___dist_65_neg_109.jpg,DistanceMap,DistanceMap,0.5761,MYC_IHC,0.3608
DistanceMap___dist_68_neg_104.jpg,DistanceMap,DistanceMap,0.7899,MYC_IHC,0.1976
DistanceMap___dist_75_neg_101.jpg,DistanceMap,DistanceMap,0.8415,MYC_IHC,0.1379
DistanceMap___dist_82_neg_103.jpg,DistanceMap,DistanceMap,0.5414,MYC_IHC,0.3522
Hematoxylin___hem_112_neg_106.jpg,Hematoxylin,Hematoxylin,0.8833,MYC_IHC,0.0619
Hematoxylin___hem_28_neg_102.jpg,Hematoxylin,Hematoxylin,0.8512,MYC_IHC,0.0831
Hematoxylin___hem_39_pos_104.jpg,Hematoxylin,Hematoxylin,0.8495,MYC_IHC,0.143
Hematoxylin___hem_44_pos_107.jpg,Hematoxylin,Hematoxylin,0.8875,MYC_IHC,0.1059
Hematoxylin___hem_55_pos_110.jpg,Hematoxylin,Hematoxylin,0.7646,MYC_IHC,0.2216
Hematoxylin___hem_65_neg_101.jpg,Hematoxylin,Hematoxylin,0.5112,MYC_IHC,0.4798
Hematoxylin___hem_6_pos_108.jpg,Hematoxylin,Hematoxylin,0.581,MYC_IHC,0.3836
Hematoxylin___hem_82_neg_103.jpg,Hematoxylin,Hematoxylin,0.9108,DAB,0.0548
Hematoxylin___hem_95_neg_109.jpg,Hematoxylin,Hematoxylin,0.7896,MYC_IHC,0.1984
Hematoxylin___hem_9_neg_105.jpg,Hematoxylin,Hematoxylin,0.9457,MYC_IHC,0.0423
MYC_IHC___104_neg_101.jpg,MYC_IHC,MYC_IHC,0.9956,DistanceMap,0.0022
MYC_IHC___110_neg_109.jpg,MYC_IHC,MYC_IHC,0.9964,Hematoxylin,0.0021
MYC_IHC___38_pos_108.jpg,MYC_IHC,MYC_IHC,0.9762,DistanceMap,0.0151
MYC_IHC___39_pos_104.jpg,MYC_IHC,Hematoxylin,1.0,MYC_IHC,0.0
MYC_IHC___46_neg_102.jpg,MYC_IHC,MYC_IHC,0.9266,Hematoxylin,0.0486
MYC_IHC___48_pos_110.jpg,MYC_IHC,MYC_IHC,0.8827,DistanceMap,0.0901
MYC_IHC___65_neg_107.jpg,MYC_IHC,MYC_IHC,0.9682,Hematoxylin,0.0205
MYC_IHC___69_neg_103.jpg,MYC_IHC,MYC_IHC,0.9718,DAB,0.0153
MYC_IHC___89_pos_105.jpg,MYC_IHC,MYC_IHC,0.9913,Hematoxylin,0.0047
MYC_IHC___95_neg_106.jpg,MYC_IHC,MYC_IHC,0.9741,Hematoxylin,0.0234
