filename, label, prediction1, score1, prediction2, score2
Class0___Compressed_110_105.jpg,Class0,Class1,0.5286,Class0,0.4714
Class0___Compressed_149_104.jpg,Class0,Class0,1.0,Class1,0.0
Class0___Compressed_26_110.jpg,Class0,Class0,0.7395,Class1,0.2605
Class0___Compressed_76_106.jpg,Class0,Class0,0.7388,Class1,0.2612
Class0___Compressed_95_103.jpg,Class0,Class0,1.0,Class1,0.0
Class0___Rotated180Compressed_108_101.jpg,Class0,Class0,1.0,Class1,0.0
Class0___Rotated180Compressed_3_102.jpg,Class0,Class1,0.6452,Class0,0.3548
Class0___Rotated180Compressed_74_108.jpg,Class0,Class0,0.5175,Class1,0.4825
Class0___Rotated180Compressed_98_109.jpg,Class0,Class1,0.6121,Class0,0.3879
Class0___Rotated180Compressed_99_107.jpg,Class0,Class1,0.551,Class0,0.449
Class1___Compressed_153_110.jpg,Class1,Class0,1.0,Class1,0.0
Class1___Compressed_156_104.jpg,Class1,Class1,0.6623,Class0,0.3377
Class1___Compressed_174_103.jpg,Class1,Class1,0.6811,Class0,0.3189
Class1___Rotated180Compressed_158_106.jpg,Class1,Class1,0.5209,Class0,0.4791
Class1___Rotated180Compressed_164_109.jpg,Class1,Class0,0.51,Class1,0.49
Class1___Rotated180Compressed_165_102.jpg,Class1,Class0,0.9997,Class1,0.0003
Class1___Rotated180Compressed_166_105.jpg,Class1,Class0,0.6213,Class1,0.3787
Class1___Rotated180Compressed_168_101.jpg,Class1,Class0,1.0,Class1,0.0
Class1___Rotated180Compressed_169_108.jpg,Class1,Class1,0.6731,Class0,0.3269
Class1___Rotated180Compressed_170_107.jpg,Class1,Class0,1.0,Class1,0.0
