filename, label, prediction1, score1, prediction2, score2
BAS___BAS_0001_0_96_109.jpg,BAS,NGS,0.4188,BAS,0.2522
BAS___BAS_0021_0_96_108.jpg,BAS,BAS,0.4252,NGS,0.1422
BAS___BAS_0022_0_96_104.jpg,BAS,BAS,0.8374,NGS,0.0433
BAS___BAS_0023_0_6588_105.jpg,BAS,NGS,0.6019,BAS,0.2254
BAS___BAS_0031_0_96_103.jpg,BAS,NGS,0.4369,BAS,0.3003
BAS___BAS_0032_0_96_101.jpg,BAS,BAS,0.3128,NGS,0.1748
BAS___BAS_0053_0_6588_106.jpg,BAS,NGS,0.6795,BAS,0.104
BAS___BAS_0061_0_5339_102.jpg,BAS,BAS,0.8928,MYB,0.0273
BAS___BAS_0065_0_8415_107.jpg,BAS,BAS,0.837,NGS,0.0795
BAS___BAS_0079_0_6588_110.jpg,BAS,KSC,0.4215,NGS,0.1411
EBO___EBO_0003_0_6588_102.jpg,EBO,EBO,0.9337,MYO,0.0122
EBO___EBO_0003_0_7954_107.jpg,EBO,EBO,0.8458,MYO,0.045
EBO___EBO_0023_0_6588_104.jpg,EBO,EBO,0.9865,MYO,0.0054
EBO___EBO_0030_0_7954_101.jpg,EBO,EBO,0.9816,MYO,0.0056
EBO___EBO_0031_0_96_110.jpg,EBO,EBO,0.9521,NGB,0.0095
EBO___EBO_0038_0_7954_106.jpg,EBO,EBO,0.573,NGS,0.2201
EBO___EBO_0039_0_8415_105.jpg,EBO,EBO,0.8614,BAS,0.0351
EBO___EBO_0045_0_96_108.jpg,EBO,EBO,0.8821,MYO,0.0271
EBO___EBO_0068_0_5339_103.jpg,EBO,EBO,0.964,MYO,0.0131
EBO___EBO_0074_0_8415_109.jpg,EBO,EBO,0.9976,MYO,0.0011
EOS___EOS_0018_105.jpg,EOS,EOS,0.9333,MYB,0.0131
EOS___EOS_0047_102.jpg,EOS,EOS,0.9128,PMB,0.01
EOS___EOS_0083_104.jpg,EOS,EOS,0.9704,LYA,0.0042
EOS___EOS_0122_110.jpg,EOS,EOS,0.873,MMZ,0.0601
EOS___EOS_0176_107.jpg,EOS,EOS,0.8588,LYT,0.0287
EOS___EOS_0196_109.jpg,EOS,EOS,0.5344,MYO,0.1467
EOS___EOS_0201_101.jpg,EOS,EOS,0.9007,MMZ,0.0249
EOS___EOS_0238_106.jpg,EOS,EOS,0.5338,BAS,0.121
EOS___EOS_0310_103.jpg,EOS,EOS,0.6152,BAS,0.1075
EOS___EOS_0393_108.jpg,EOS,NGS,0.8201,EOS,0.037
KSC___KSC_0001_0_2216_109.jpg,KSC,KSC,0.887,MYO,0.0369
KSC___KSC_0002_0_625_106.jpg,KSC,KSC,0.9503,NGS,0.0157
KSC___KSC_0003_0_2216_107.jpg,KSC,EBO,0.9953,MOB,0.0016
KSC___KSC_0008_0_6048_102.jpg,KSC,KSC,0.6041,EBO,0.1216
KSC___KSC_0011_0_12_103.jpg,KSC,KSC,0.9111,NGS,0.0373
KSC___KSC_0013_0_6048_108.jpg,KSC,KSC,0.9588,NGS,0.0133
KSC___KSC_0013_0_6588_101.jpg,KSC,KSC,0.8421,LYT,0.0788
KSC___KSC_0013_0_8631_104.jpg,KSC,KSC,0.9103,LYT,0.0408
KSC___KSC_0015_0_2294_110.jpg,KSC,KSC,0.9244,MYB,0.0591
KSC___KSC_0015_0_5339_105.jpg,KSC,KSC,0.9399,MYB,0.0368
LYA___LYA_0001_0_6360_106.jpg,LYA,LYT,0.3069,EBO,0.2513
LYA___LYA_0001_0_8631_104.jpg,LYA,LYT,0.7058,EBO,0.0623
LYA___LYA_0003_0_2969_102.jpg,LYA,LYA,0.8382,MYO,0.0715
LYA___LYA_0004_0_2662_108.jpg,LYA,LYA,0.9802,MYO,0.0093
LYA___LYA_0004_0_8304_109.jpg,LYA,LYA,0.6678,MYO,0.2924
LYA___LYA_0006_0_5539_107.jpg,LYA,LYA,0.9286,MYO,0.058
LYA___LYA_0006_0_8484_110.jpg,LYA,LYA,0.9344,MYO,0.0506
LYA___LYA_0007_0_1038_105.jpg,LYA,LYA,0.9859,LYT,0.0084
LYA___LYA_0007_0_2216_103.jpg,LYA,LYA,0.9701,LYT,0.0182
LYA___LYA_0010_0_1038_101.jpg,LYA,LYA,0.8405,MYO,0.0335
LYT___LYT_0172_104.jpg,LYT,LYT,0.6348,LYA,0.3154
LYT___LYT_0328_106.jpg,LYT,LYT,0.9323,NGS,0.0218
LYT___LYT_0910_102.jpg,LYT,LYT,0.9574,LYA,0.014
LYT___LYT_1194_107.jpg,LYT,LYT,0.6592,MYO,0.3119
LYT___LYT_2850_105.jpg,LYT,LYT,0.9376,MYO,0.0228
LYT___LYT_3358_109.jpg,LYT,LYT,0.8861,MON,0.041
LYT___LYT_3397_110.jpg,LYT,LYT,0.967,NGS,0.0078
LYT___LYT_3540_101.jpg,LYT,LYT,0.8629,LYA,0.0783
LYT___LYT_3604_103.jpg,LYT,LYT,0.8606,EBO,0.0413
LYT___LYT_3739_108.jpg,LYT,EBO,0.5839,LYT,0.3174
MMZ___MMZ_0001_0_2662_103.jpg,MMZ,NGB,0.422,NGS,0.1447
MMZ___MMZ_0001_0_625_107.jpg,MMZ,NGS,0.4152,NGB,0.2958
MMZ___MMZ_0005_0_1038_101.jpg,MMZ,MMZ,0.7743,NGS,0.0827
MMZ___MMZ_0006_0_2662_110.jpg,MMZ,MMZ,0.9815,MYO,0.0052
MMZ___MMZ_0006_0_6517_102.jpg,MMZ,MMZ,0.9775,MYO,0.0075
MMZ___MMZ_0006_0_9187_109.jpg,MMZ,MMZ,0.9733,MYB,0.0161
MMZ___MMZ_0010_0_9187_104.jpg,MMZ,MMZ,0.949,MYB,0.016
MMZ___MMZ_0013_0_264_106.jpg,MMZ,MMZ,0.8901,MYO,0.0387
MMZ___MMZ_0013_0_6048_108.jpg,MMZ,MMZ,0.8898,NGS,0.0228
MMZ___MMZ_0013_0_8198_105.jpg,MMZ,MMZ,0.8614,MYO,0.0484
MOB___MOB_0001_0_8415_101.jpg,MOB,MOB,0.997,LYT,0.0007
MOB___MOB_0002_0_6588_107.jpg,MOB,MOB,0.9554,NGB,0.0142
MOB___MOB_0008_0_7219_102.jpg,MOB,MOB,0.8976,LYT,0.0358
MOB___MOB_0016_0_2969_104.jpg,MOB,MOB,0.9775,PMO,0.0062
MOB___MOB_0016_0_6517_109.jpg,MOB,MOB,0.9888,LYT,0.0033
MOB___MOB_0018_0_2662_103.jpg,MOB,MOB,0.8835,LYT,0.0375
MOB___MOB_0019_0_1038_106.jpg,MOB,MOB,0.8841,MYO,0.0515
MOB___MOB_0023_0_7219_105.jpg,MOB,MOB,0.95,NGB,0.0086
MOB___MOB_0025_0_6517_110.jpg,MOB,MOB,0.9682,NGS,0.0075
