filename, label, prediction1, score1, prediction2, score2
Parasitized___C105P66ThinF_IMG_20150924_100655_cell_124_109.png,Parasitized,Parasitized,0.6315,Uninfected,0.3685
Parasitized___C107P68ThinF_IMG_20150924_222535_cell_146_113.png,Parasitized,Uninfected,0.8135,Parasitized,0.1865
Parasitized___C110P71ThinF_IMG_20150930_110404_cell_160_111.png,Parasitized,Uninfected,0.8521,Parasitized,0.1479
Parasitized___C116P77ThinF_IMG_20150930_171558_cell_118_106.png,Parasitized,Uninfected,0.8663,Parasitized,0.1337
Parasitized___C117P78ThinF_IMG_20150930_214138_cell_95_118.png,Parasitized,Uninfected,0.7821,Parasitized,0.2179
Parasitized___C132P93ThinF_IMG_20151004_151811_cell_149_110.png,Parasitized,Uninfected,0.6569,Parasitized,0.3431
Parasitized___C133P94ThinF_IMG_20151004_153930_cell_108_119.png,Parasitized,Uninfected,0.5493,Parasitized,0.4507
Parasitized___C137P98ThinF_IMG_20151005_164119_cell_77_117.png,Parasitized,Parasitized,0.5057,Uninfected,0.4943
Parasitized___C159P120ThinF_IMG_20151115_191301_cell_228_108.png,Parasitized,Parasitized,0.6074,Uninfected,0.3926
Parasitized___C179P140ThinF_IMG_20151127_153350_cell_174_103.png,Parasitized,Parasitized,0.6339,Uninfected,0.3661
Parasitized___C182P143NThinF_IMG_20151201_171950_cell_195_115.png,Parasitized,Uninfected,0.6211,Parasitized,0.3789
Parasitized___C182P143NThinF_IMG_20151201_172216_cell_136_112.png,Parasitized,Uninfected,0.8273,Parasitized,0.1727
Parasitized___C182P143NThinF_IMG_20151201_172216_cell_139_120.png,Parasitized,Parasitized,0.5058,Uninfected,0.4942
Parasitized___C183P144NThinF_IMG_20151201_224107_cell_127_102.png,Parasitized,Uninfected,0.6787,Parasitized,0.3213
Parasitized___C46P7ThinF_IMG_20151130_210843_cell_140_114.png,Parasitized,Parasitized,0.7549,Uninfected,0.2451
Parasitized___C48P9thinF_IMG_20150721_164129_cell_34_104.png,Parasitized,Uninfected,0.7089,Parasitized,0.2911
Parasitized___C70P31_ThinF_IMG_20150813_131609_cell_104_105.png,Parasitized,Uninfected,0.906,Parasitized,0.094
Parasitized___C80P41ThinF_IMG_20150817_110348_cell_118_116.png,Parasitized,Uninfected,0.795,Parasitized,0.205
Parasitized___C80P41ThinF_IMG_20150817_111802_cell_13_101.png,Parasitized,Uninfected,0.832,Parasitized,0.168
Parasitized___C82P43ThinF_IMG_20150817_123500_cell_225_107.png,Parasitized,Uninfected,0.6318,Parasitized,0.3682
Uninfected___C107P68ThinF_IMG_20150924_222233_cell_20_101.png,Uninfected,Uninfected,0.9207,Parasitized,0.0793
Uninfected___C110P71ThinF_IMG_20150930_105559_cell_45_110.png,Uninfected,Uninfected,0.8836,Parasitized,0.1164
Uninfected___C122P83ThinF_IMG_20151002_145330_cell_108_112.png,Uninfected,Uninfected,0.8995,Parasitized,0.1005
Uninfected___C12NThinF_IMG_20150614_125703_cell_120_106.png,Uninfected,Uninfected,0.7639,Parasitized,0.2361
Uninfected___C142P103ThinF_IMG_20151005_221900_cell_101_116.png,Uninfected,Uninfected,0.8278,Parasitized,0.1722
Uninfected___C153P114ThinF_IMG_20151115_135746_cell_133_117.png,Uninfected,Uninfected,0.8638,Parasitized,0.1362
Uninfected___C159P120ThinF_IMG_20151115_185541_cell_48_105.png,Uninfected,Uninfected,0.9023,Parasitized,0.0977
Uninfected___C159P120ThinF_IMG_20151115_190812_cell_6_107.png,Uninfected,Uninfected,0.9593,Parasitized,0.0407
Uninfected___C168P129ThinF_IMG_20151118_154651_cell_27_118.png,Uninfected,Uninfected,0.7577,Parasitized,0.2423
Uninfected___C172P133ThinF_IMG_20151119_155343_cell_206_120.png,Uninfected,Uninfected,0.9602,Parasitized,0.0398
Uninfected___C183P144NThinF_IMG_20151201_224458_cell_3_115.png,Uninfected,Uninfected,0.943,Parasitized,0.057
Uninfected___C186P147NThinF_IMG_20151203_150859_cell_82_108.png,Uninfected,Uninfected,0.9028,Parasitized,0.0972
Uninfected___C187P148NThinF_IMG_20151203_154111_cell_86_104.png,Uninfected,Uninfected,0.7392,Parasitized,0.2608
Uninfected___C208ThinF_IMG_20151029_155554_cell_116_114.png,Uninfected,Uninfected,0.7901,Parasitized,0.2099
Uninfected___C211ThinF_IMG_20151029_164218_cell_167_113.png,Uninfected,Uninfected,0.8061,Parasitized,0.1939
Uninfected___C222ThinF_IMG_20151115_151433_cell_135_103.png,Uninfected,Uninfected,0.704,Parasitized,0.296
Uninfected___C42P5thin_original_IMG_20150623_135746_cell_126_111.png,Uninfected,Uninfected,0.811,Parasitized,0.189
Uninfected___C47P8thinOriginalOlympusCX21_IMG_20150717_173554_cell_28_102.png,Uninfected,Uninfected,0.9055,Parasitized,0.0945
Uninfected___C53P14thinF_IMG_20150726_115457_cell_5_119.png,Uninfected,Uninfected,0.9298,Parasitized,0.0702
Uninfected___C78P39ThinF_IMG_20150606_103630_cell_37_109.png,Uninfected,Uninfected,0.8132,Parasitized,0.1868
