filename, label, prediction1, score1, prediction2, score2
basophil___BA_298210_110.jpg,basophil,basophil,0.7928,ig,0.0417
basophil___BA_329684_107.jpg,basophil,basophil,0.4032,lymphocyte,0.2235
basophil___BA_444818_105.jpg,basophil,ig,0.3115,basophil,0.2875
basophil___BA_477049_101.jpg,basophil,lymphocyte,0.296,ig,0.1744
basophil___BA_640005_109.jpg,basophil,lymphocyte,0.2297,ig,0.1899
basophil___BA_836099_104.jpg,basophil,lymphocyte,0.2337,ig,0.1783
basophil___BA_878109_103.jpg,basophil,basophil,0.2676,eosinophil,0.1939
basophil___BA_878312_102.jpg,basophil,ig,0.2422,erythroblast,0.2306
basophil___BA_98152_108.jpg,basophil,basophil,0.5922,ig,0.2687
basophil___BA_991920_106.jpg,basophil,ig,0.3063,platelet,0.1667
eosinophil___EO_198665_102.jpg,eosinophil,basophil,0.6049,ig,0.1278
eosinophil___EO_27382_101.jpg,eosinophil,basophil,0.5399,eosinophil,0.3158
eosinophil___EO_30344_110.jpg,eosinophil,ig,0.2543,eosinophil,0.1731
eosinophil___EO_361808_103.jpg,eosinophil,erythroblast,0.174,monocyte,0.1509
eosinophil___EO_519041_104.jpg,eosinophil,ig,0.5477,erythroblast,0.1083
eosinophil___EO_745272_106.jpg,eosinophil,basophil,0.5822,eosinophil,0.1666
eosinophil___EO_772828_108.jpg,eosinophil,ig,0.7711,basophil,0.0623
eosinophil___EO_797630_105.jpg,eosinophil,ig,0.47,eosinophil,0.1113
eosinophil___EO_903871_107.jpg,eosinophil,ig,0.7254,basophil,0.1255
eosinophil___EO_948482_109.jpg,eosinophil,eosinophil,0.2446,ig,0.1659
erythroblast___ERB_189103_108.jpg,erythroblast,erythroblast,0.9251,eosinophil,0.019
erythroblast___ERB_202339_103.jpg,erythroblast,erythroblast,0.9041,platelet,0.0328
erythroblast___ERB_215077_110.jpg,erythroblast,erythroblast,0.944,platelet,0.0196
erythroblast___ERB_377210_105.jpg,erythroblast,erythroblast,0.3096,lymphocyte,0.2125
erythroblast___ERB_392614_109.jpg,erythroblast,erythroblast,0.6482,basophil,0.1309
erythroblast___ERB_528385_107.jpg,erythroblast,erythroblast,0.9096,platelet,0.0282
erythroblast___ERB_678282_102.jpg,erythroblast,erythroblast,0.9013,eosinophil,0.0306
erythroblast___ERB_683211_106.jpg,erythroblast,erythroblast,0.8787,eosinophil,0.0364
erythroblast___ERB_856059_101.jpg,erythroblast,ig,0.2602,eosinophil,0.218
erythroblast___ERB_915125_104.jpg,erythroblast,erythroblast,0.88,ig,0.0389
ig___MMY_236380_110.jpg,ig,ig,0.6922,eosinophil,0.0829
ig___MMY_29561_106.jpg,ig,ig,0.4455,platelet,0.1711
ig___MMY_406233_107.jpg,ig,ig,0.468,neutrophil,0.1693
ig___MMY_441459_105.jpg,ig,ig,0.65,basophil,0.1176
ig___MY_38787_109.jpg,ig,ig,0.2259,eosinophil,0.2214
ig___MY_609553_102.jpg,ig,ig,0.5227,eosinophil,0.1732
ig___MY_638678_108.jpg,ig,ig,0.7212,basophil,0.0827
ig___MY_922229_101.jpg,ig,ig,0.7187,erythroblast,0.0922
ig___PMY_748511_104.jpg,ig,ig,0.8641,eosinophil,0.0405
ig___PMY_845030_103.jpg,ig,ig,0.776,neutrophil,0.06
lymphocyte___LY_161086_101.jpg,lymphocyte,erythroblast,0.8906,basophil,0.0245
lymphocyte___LY_185977_107.jpg,lymphocyte,erythroblast,0.8593,eosinophil,0.0688
lymphocyte___LY_206769_106.jpg,lymphocyte,basophil,0.5405,eosinophil,0.122
lymphocyte___LY_404117_110.jpg,lymphocyte,ig,0.399,erythroblast,0.1689
lymphocyte___LY_4334_103.jpg,lymphocyte,lymphocyte,0.273,eosinophil,0.1802
lymphocyte___LY_538573_108.jpg,lymphocyte,lymphocyte,0.2333,eosinophil,0.1802
lymphocyte___LY_803647_109.jpg,lymphocyte,lymphocyte,0.5295,erythroblast,0.1257
lymphocyte___LY_83662_102.jpg,lymphocyte,erythroblast,0.4395,eosinophil,0.3597
lymphocyte___LY_914594_105.jpg,lymphocyte,erythroblast,0.3892,ig,0.2971
lymphocyte___LY_99706_104.jpg,lymphocyte,erythroblast,0.1682,lymphocyte,0.161
monocyte___MO_179950_108.jpg,monocyte,ig,0.8698,eosinophil,0.0469
monocyte___MO_385020_110.jpg,monocyte,basophil,0.8196,ig,0.0521
monocyte___MO_546259_102.jpg,monocyte,ig,0.2117,eosinophil,0.1586
monocyte___MO_562918_101.jpg,monocyte,eosinophil,0.1629,erythroblast,0.1444
monocyte___MO_678255_105.jpg,monocyte,ig,0.3157,monocyte,0.1628
monocyte___MO_815995_103.jpg,monocyte,ig,0.5623,monocyte,0.3378
monocyte___MO_854393_107.jpg,monocyte,monocyte,0.7513,ig,0.1411
monocyte___MO_897458_106.jpg,monocyte,basophil,0.6059,ig,0.1587
monocyte___MO_91781_104.jpg,monocyte,ig,0.8432,basophil,0.0388
monocyte___MO_95719_109.jpg,monocyte,ig,0.4398,erythroblast,0.4179
neutrophil___BNE_30987_102.jpg,neutrophil,neutrophil,0.7883,ig,0.1617
neutrophil___BNE_348065_104.jpg,neutrophil,erythroblast,0.5491,ig,0.2497
neutrophil___BNE_41833_109.jpg,neutrophil,ig,0.6162,neutrophil,0.2092
neutrophil___BNE_524065_110.jpg,neutrophil,ig,0.6727,neutrophil,0.1253
neutrophil___BNE_602491_106.jpg,neutrophil,neutrophil,0.4228,erythroblast,0.2076
neutrophil___BNE_752441_101.jpg,neutrophil,neutrophil,0.585,ig,0.1952
neutrophil___NEUTROPHIL_517556_108.jpg,neutrophil,neutrophil,0.8681,ig,0.0434
neutrophil___SNE_313880_103.jpg,neutrophil,neutrophil,0.4942,ig,0.3643
neutrophil___SNE_651628_107.jpg,neutrophil,neutrophil,0.8296,ig,0.0617
neutrophil___SNE_714873_105.jpg,neutrophil,ig,0.5527,neutrophil,0.3158
platelet___PLATELET_312339_106.jpg,platelet,platelet,0.9279,erythroblast,0.0157
platelet___PLATELET_392709_102.jpg,platelet,platelet,0.9432,neutrophil,0.0092
platelet___PLATELET_449829_104.jpg,platelet,platelet,0.9025,eosinophil,0.021
platelet___PLATELET_46853_103.jpg,platelet,platelet,0.9016,neutrophil,0.0179
platelet___PLATELET_542376_101.jpg,platelet,platelet,0.4953,monocyte,0.2637
platelet___PLATELET_58181_108.jpg,platelet,platelet,0.9363,eosinophil,0.0147
platelet___PLATELET_626384_105.jpg,platelet,platelet,0.896,eosinophil,0.0284
platelet___PLATELET_686662_107.jpg,platelet,platelet,0.8626,erythroblast,0.0661
platelet___PLATELET_787807_110.jpg,platelet,platelet,0.8995,eosinophil,0.0251
platelet___PLATELET_988257_109.jpg,platelet,platelet,0.9215,eosinophil,0.0185
